package,URI,label,hasCategory,secondaryThreat,normalOperation,hasFrequency,currentRisk,futureRisk,comment,appliesTo,threatens
domain#000000,domain#000000,CC.AX.CCCS.6.1,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,domain#MP-CCCS,domain#Role_ClientChannel
package#CloudManagement,domain#CC.AX.CCCS.6.1,CC.AX.CCCS.6.1,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Disabled access by client _Client_ to _Service_: access by client _Client_ to service _Service_ has been disabled to prevent communication threats. However, this also causes a loss of accessibility of the service from that client.",domain#MP-CCCS,domain#Role_ClientChannel
package#CloudManagement,domain#CC.AX.CCCS.6.2,CC.AX.CCCS.6.2,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Disabling access by impersonated client _Client_ to _Service_ affects availability: access by client _Client_ to service _Service_ may be disabled to prevent access by an impersonated client, but this affects the availability of client-service connections.",domain#MP-CCCS,domain#Role_ClientChannel
package#CloudManagement,domain#CC.AX.CCCS.6.3,CC.AX.CCCS.6.3,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Disabling access by untrustworthy client _Client_ to _Service_ affects availability: access by client _Client_ to service _Service_ may be disabled to prevent access by a malicious or compromised client, but this affects the availability of client-service connections.",domain#MP-CCCS,domain#Role_ClientChannel
package#CloudManagement,domain#CC.AX.CCDFSFS.6.4,CC.AX.CCDFSFS.6.4,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Disabling excessive access by client _Client_ to _Service_ affects availability: access by client _Client_ to service _Service_ may be disabled to prevent excessive amounts of data being requested from the service, but this affects the availability of client-service connections.",domain#MP-CCDFSFS,domain#Role_ClientChannel
package#CloudManagement,domain#CC.AX.CCDFSTS.6.4,CC.AX.CCDFSTS.6.4,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Disabling excessive access by client _Client_ to _Service_ affects availability: access by client _Client_ to service _Service_ may be disabled to prevent excessive amounts of data being sent to the service, but this affects the availability of client-service connections.",domain#MP-CCDFSTS,domain#Role_ClientChannel
package#CloudManagement,domain#DF.A.CCDFCS.6.3,DF.A.CCDFCS.6.3,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ via untrustworthy _Service_ disabled: if the system operates a policy to disable the flow of data _Data_ from _FlowsFrom_ if there is a perceived loss of trustworthiness in a recipient _Service_, then there will also be a loss of availability if _Service_ is untrustworthy.",domain#MP-CCDFCS,domain#Role_DataFlow
package#CloudManagement,domain#DF.A.CCDFSC.6.3,DF.A.CCDFSC.6.3,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Flow of data _Data_ from _FlowsFrom_ to _FlowsTo_ via untrustworthy process _Client_ disabled: if the system operates a policy to disable the flow of data _Data_ from _FlowsFrom_ if there is a perceived loss of trustworthiness in the recipient _Client_, then there will also be a loss of availability if _Client_ is untrustworthy.",domain#MP-CCDFSC,domain#Role_DataFlow
package#CloudManagement,domain#DF.A.PDF.6.1,DF.A.PDF.6.1,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Loss of availability in the disabled flow of data _Data_ from _FlowsFrom_ to _Process_: the flow of _Data_ between _FlowsFrom_ to _Process_ has been disabled to maintain security or prevent a breach of regulations, but as a result the data flow is now unavailable.",domain#MP-PDF,domain#Role_DataFlow
package#CloudManagement,domain#DF.A.PDF.6.2,DF.A.PDF.6.2,domain#Category-SideEffectsOfSecurity,FALSE,FALSE,domain#LikelihoodVeryHigh,TRUE,TRUE,"Loss of availability from suspending the flow of unauthentic data _Data_ from _FlowsFrom_ to _Process_: if a contingency plan is used in which the flow of _Data_ between _FlowsFrom_ to _Process_ is disabled if the data was subject to malicious tampering, then the flow of data _Data_ from _FlowsFrom_ to _Process_ will become unavailable.",domain#MP-PDF,domain#Role_DataFlow
