package,URI,label,comment,hidden,isAssertable,isVisible,isLoopback,isConstructed,constructionState
domain#000000,domain#000000,implements,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
package#5G,domain#implementsCN,implements,"Relationship from a physical network to an abstract cellular network, indicating that the former is part of the latter. Used from an IP network to indicate that it forms the cellular network backbone, and from a radio access network to indicate that it implements a cell in a location.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
package#AccessContext,domain#accessFrom,accessFrom,Refers from an access context to the space in which access has or may have taken place.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#amends,amends,"The Process uses and alters the value of an instance of Data, and is not blocked if it cannot access the Data.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#amendsData,amends,"Relationship between an interactive process user and data they enter, review and update by using the process.",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#appends,appends,"The Process creates new instances of Data, adding them to a collection but not overwriting existing instances. This is a type of update operation, but the Process does not need access to previous values.",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
package#Application,domain#assertedAmendsData,assertedAmendsData,"Human-Data relationship added to label cases where a Human-amendsData-Data relationship has been asserted. This is now a deprecated feature of the domain model, so the label is added so it can be used to generate a suitable modelling error.",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
package#Application,domain#assertedInputsData,assertedInputsData,"Human-Data relationship added to label cases where a Human-inputsData-Data relationship has been asserted. This is now a deprecated feature of the domain model, so the label is added so it can be used to generate a suitable modelling error.",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
package#Application,domain#assertedViewsData,assertedViewsData,"Human-Data relationship added to label cases where a Human-viewsData-Data relationship has been asserted. This is now a deprecated feature of the domain model, so the label is added so it can be used to generate a suitable modelling error.",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
package#Application,domain#creates,creates,"The Process creates the value of the Data, and does not require access to it after that.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#enablesUserAccess,enablesUserAccess,"Relationship between an interactive process and data, signifying that a user interacts with the data via the process.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
package#Application,domain#enablesUserInput,enablesUserInput,"Relationship between an interactive process and data, signifying that a user entes the data via the process.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#enablesUserOutput,enablesUserOutput,"Relationship between an interactive process and data, signifying that a user views the data via the process.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#enablesUserUpdate,enablesUserUpdate,"Relationship between an interactive process and data, signifying that a user updates the data via the process.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#handles,handles,Common base class for interactions between processes and data. Used only in matching patterns that should cover processes that serve or process data.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
package#Application,domain#inputsData,enters,Relationship between an interactive process user and data they enter using the process.,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
package#Application,domain#interactsWithData,interactsWithData,"Relationship between an interactive process user and data they interact with using the process. Note that this is not a special case of interactsRemotelyWithData, as that only indicates a potential interaction.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
